id,material,name,image
1,1,샴페인 컬러,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51759_y_36.png?impolicy=main-configurator&imwidth=680
2,1,다이아몬드가 세팅된 다크 그레이,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51472_y_36.png?impolicy=main-configurator&imwidth=680
3,1,다이아몬드가 세팅된 그린 옴브레,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51755_y_36.png?impolicy=main-configurator&imwidth=680
4,1,다이아몬드가 세팅된 샴페인 컬러,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46160_y_36.png?impolicy=main-configurator&imwidth=680
5,1,다이아몬드가 세팅된 화이트 진주자개,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46164_y_36.png?impolicy=main-configurator&imwidth=680
6,1,터콰이즈,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51970_y_36.png?impolicy=main-configurator&imwidth=680
7,1,다이아몬드 파베,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51761_y_36.png?impolicy=main-configurator&imwidth=680
8,2,실버,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46176_g_36.png?impolicy=main-configurator&imwidth=680
9,2,다이아몬드가 세팅된 블루 옴브레,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51756_g_36.png?impolicy=main-configurator&imwidth=680
10,2,다이아몬드가 세팅된 화이트 진주자개,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46185_g_36.png?impolicy=main-configurator&imwidth=680
11,2,다이아몬드가 세팅된 핑크 오팔,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51768_g_36.png?impolicy=main-configurator&imwidth=680
12,2,다이아몬드 파베,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46189_g_36.png?impolicy=main-configurator&imwidth=680
13,3,다이아몬드가 세팅된 브라운 옴브레,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51757_p_36.png?impolicy=main-configurator&imwidth=680
14,3,다이아몬드가 세팅된 로즈 컬러,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51474_p_36.png?impolicy=main-configurator&imwidth=680
15,3,다이아몬드가 세팅된 화이트 진주자개,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51765_p_36.png?impolicy=main-configurator&imwidth=680
16,3,다이아몬드 파베,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51971_p_36.png?impolicy=main-configurator&imwidth=680
17,1,"블랙, 사선 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50630_y_40.png?impolicy=main-configurator&imwidth=680
18,1,샴페인 컬러,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46157_y_40.png?impolicy=main-configurator&imwidth=680
19,1,샴페인 컬러,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50629_y_40.png?impolicy=main-configurator&imwidth=680
20,1,실버,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46156_y_40.png?impolicy=main-configurator&imwidth=680
21,1,"실버, 사선 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50631_y_40.png?impolicy=main-configurator&imwidth=680
22,1,화이트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51220_y_40.png?impolicy=main-configurator&imwidth=680
23,1,다이아몬드가 세팅된 블랙,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46158_y_40.png?impolicy=main-configurator&imwidth=680
24,1,다이아몬드가 세팅된 샴페인 컬러,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46161_y_40.png?impolicy=main-configurator&imwidth=680
25,2,블랙,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46180_g_40.png?impolicy=main-configurator&imwidth=680
26,2,"다크 로디움, 줄무늬 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46178_g_40.png?impolicy=main-configurator&imwidth=680
27,2,블루,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50633_g_40.png?impolicy=main-configurator&imwidth=680
28,2,올리브 그린,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50832_g_40.png?impolicy=main-configurator&imwidth=680
29,2,"실버, 줄무늬 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46175_g_40.png?impolicy=main-configurator&imwidth=680
30,2,"실버, 사분면 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50632_g_40.png?impolicy=main-configurator&imwidth=680
31,2,화이트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51221_g_40.png?impolicy=main-configurator&imwidth=680
32,2,다이아몬드가 세팅된 블랙,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46181_g_40.png?impolicy=main-configurator&imwidth=680
33,2,다이아몬드가 세팅된 실버,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46179_g_40.png?impolicy=main-configurator&imwidth=680
34,2,다이아몬드가 세팅된 메테오라이트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51632_g_40.png?impolicy=main-configurator&imwidth=680
35,2,다이아몬드와 사파이어가 세팅된 파베,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51164_g_40.png?impolicy=main-configurator&imwidth=680
36,3,초콜렛,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46145_p_40.png?impolicy=main-configurator&imwidth=680
37,3,"초콜렛, 사선 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50636_p_40.png?impolicy=main-configurator&imwidth=680
38,3,올리브 그린,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50833_p_40.png?impolicy=main-configurator&imwidth=680
39,3,선더스트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46142_p_40.png?impolicy=main-configurator&imwidth=680
40,3,선더스트 줄무늬 모티프,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50635_p_40.png?impolicy=main-configurator&imwidth=680
41,3,화이트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51222_p_40.png?impolicy=main-configurator&imwidth=680
42,3,다이아몬드가 세팅된 초콜렛,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46143_p_40.png?impolicy=main-configurator&imwidth=680
43,3,다이아몬드가 세팅된 선더스트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46144_p_40.png?impolicy=main-configurator&imwidth=680
44,3,다이아몬드 파베,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51163_p_40.png?impolicy=main-configurator&imwidth=680
45,4,블랙,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46180_g_40.png?impolicy=main-configurator&imwidth=680
46,4,"다크 로디움, 줄무늬 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46178_g_40.png?impolicy=main-configurator&imwidth=680
47,4,블루,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50633_g_40.png?impolicy=main-configurator&imwidth=680
48,4,"아이스 블루, 사분면 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46195_g_40.png?impolicy=main-configurator&imwidth=680
49,4,"아이스 블루, 사선 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46194_g_40.png?impolicy=main-configurator&imwidth=680
50,4,올리브 그린,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50832_g_40.png?impolicy=main-configurator&imwidth=680
51,4,"실버, 사분면 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/50632_g_40.png?impolicy=main-configurator&imwidth=680
52,4,"실버, 줄무늬 모티프",https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46175_g_40.png?impolicy=main-configurator&imwidth=680
53,4,화이트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51221_g_40.png?impolicy=main-configurator&imwidth=680
54,4,다이아몬드가 세팅된 블랙,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46181_g_40.png?impolicy=main-configurator&imwidth=680
55,4,다이아몬드가 세팅된 아이스 블루,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46196_g_40.png?impolicy=main-configurator&imwidth=680
56,4,다이아몬드가 세팅된 실버,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/46179_g_40.png?impolicy=main-configurator&imwidth=680
57,4,다이아몬드가 세팅된 메테오라이트,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51632_g_40.png?impolicy=main-configurator&imwidth=680
58,4,다이아몬드와 사파이어가 세팅된 파베,https://content.rolex.com/dam/2019/harmonised/dial-raw-with-colored-shadow/51164_g_40.png?impolicy=main-configurator&imwidth=680